Center of the cluster (IPC code),Field of Knowledge,Member of the cluster (IPC code),Name of the IPC code,,,,,,,
,,C23G,Cleaning or degreasing of metallic material by chemical methods other than electrolysis,,,,,,,
,,D06G,Mechanical and pressure cleaning of fabrics,,,,,,,
,,F28G,Cleaning of internal or external surfaces of heat-exchange or heat-transfer conduits,,,,,,,
B21D,Mechanical Working and Processing of Metal ,B21C,"Manufacture of metal sheets, wire, rods, tubes,
profiles or like semi-manufactured products
otherwise than by rolling; Auxiliary operations
used in connection with metal-working without
essentially removing material",,,,,,,
,,B21D,"Working or processing of sheet metal or metal
tubes, rods or profiles without essentially
removing material; Punching metal ",,,,,,,
,,B21F,Working or processing of metal wire ,,,,,,,
,,B21H,"Making particular metal objects by rolling, e.g.
screws, wheels, rings, barrels, balls",,,,,,,
,,B23P,"Other working of metal; Combined operations;
Universal machine tools",,,,,,,
,,B30B,"Presses in general; Presses not otherwise provided
for ",,,,,,,
B21J,Forging,B21J,"Forging; Hammering; Pressing metal; Riveting;
Forge furnaces",,,,,,,
,,B21K,"Making forged or pressed metal products, e.g.
horse-shoes, rivets, bolts or wheels ",,,,,,,
B22D,Foundry Molding,B22C,Foundry moulding,,,,,,,
,,B22D,Casting of metals; casting of other substances by the same processes or devices,,,,,,,
,,C21C,"Processing of pig-iron, e.g. refining, manufacture of wrought-iron or steel; Treatment in molten state of ferrous alloys",,,,,,,
B23B,Preservation and associated components,B23B,"Preserving, e.g. by canning, meat, fish, eggs, fruit, vegetables, edible seeds; chemical ripening of fruit or vegetables; the preserved, ripened, or canned products",,,,,,,
,,B23C,Milling,,,,,,,
,,B23G,"Thread cutting; working of screws, bolt heads, or nuts, in conjunction therewith",,,,,,,
,,B23Q,"Details, components, or accessories for machine tools",,,,,,,
,,B25D,Percussive tools,,,,,,,
B24B,"Grinding, Polishing, Working with Stone",B23F,Making Gears or toothed racks,,,,,,,
